Id,Season,Area,unit_area_production(qui/ha),Latitude(N),Longitude(E)
0,Kharif,51.0,0.0,14.55,77.416667
1,Kharif,16.0,1.125,14.55,77.416667
2,Kharif,1131.0,0.6109637488947833,14.55,77.416667
3,Kharif,421.0,0.5510688836104513,14.55,77.416667
4,Kharif,182.0,1.362637362637363,14.55,77.416667
5,Kharif,24.0,0.8333333333333334,14.55,77.416667
6,Kharif,1682.0,1.7039239001189062,14.55,77.416667
7,Kharif,1656.0,1.615942028985507,14.55,77.416667
8,Kharif,919.0,1.818280739934712,14.55,77.416667
9,Kharif,2401.0,1.6101624323198669,14.55,77.416667
10,Kharif,44.0,1.1363636363636365,14.55,77.416667
11,Kharif,11.0,1.818181818181818,13.30374115,78.98770101604079
12,Kharif,11.0,1.6363636363636365,13.30374115,78.98770101604079
13,Kharif,156.0,0.5512820512820513,17.233496,81.7225986
14,Kharif,174.0,1.0172413793103448,17.233496,81.7225986
15,Kharif,155.0,1.367741935483871,17.233496,81.7225986
16,Kharif,28.0,0.8214285714285714,17.233496,81.7225986
17,Kharif,50.0,1.62,17.233496,81.7225986
18,Kharif,11.0,2.272727272727273,17.233496,81.7225986
19,Kharif,2376.0,0.0,16.2915189,80.4541588
20,Kharif,1631.0,1.1011649294911097,16.2915189,80.4541588
21,Kharif,1066.0,0.6106941838649156,16.2915189,80.4541588
22,Kharif,1533.0,0.5512067840834964,16.2915189,80.4541588
23,Kharif,221.0,1.0180995475113122,16.2915189,80.4541588
24,Kharif,6.0,2.0,16.2915189,80.4541588
25,Kharif,5.0,1.6,16.2915189,80.4541588
26,Kharif,168.0,1.8154761904761905,16.2915189,80.4541588
27,Kharif,433.0,1.6096997690531178,16.2915189,80.4541588
28,Rabi,54.0,1.6111111111111112,16.2915189,80.4541588
29,Kharif,439.0,2.908883826879271,16.2915189,80.4541588
30,Rabi,4.0,3.0,16.2915189,80.4541588
31,Kharif,3.0,0.6666666666666666,14.4671491,78.8228877
32,Kharif,6.0,1.3333333333333333,14.4671491,78.8228877
33,Kharif,37.0,0.8108108108108109,14.4671491,78.8228877
34,Kharif,142.0,1.704225352112676,14.4671491,78.8228877
35,Kharif,389.0,1.616966580976864,14.4671491,78.8228877
36,Kharif,147.0,1.8163265306122451,14.4671491,78.8228877
37,Rabi,6.0,1.8333333333333333,14.4671491,78.8228877
38,Kharif,65.0,1.6153846153846154,14.4671491,78.8228877
39,Rabi,12.0,,14.4671491,78.8228877
40,Kharif,9.0,0.5555555555555556,16.6691525,80.71900240000001
41,Kharif,994.0,0.5513078470824949,15.830925099999998,78.0425373
42,Kharif,519.0,1.0192678227360308,15.830925099999998,78.0425373
43,Kharif,89.0,1.3595505617977528,15.830925099999998,78.0425373
44,Kharif,73.0,0.821917808219178,15.830925099999998,78.0425373
45,Kharif,130.0,1.7,15.830925099999998,78.0425373
46,Kharif,101.0,1.6138613861386142,15.830925099999998,78.0425373
47,Kharif,69.0,1.8115942028985508,15.830925099999998,78.0425373
48,Kharif,50.0,1.62,15.830925099999998,78.0425373
49,Rabi,20.0,1.6,15.830925099999998,78.0425373
50,Kharif,200.0,1.175,15.830925099999998,78.0425373
51,Rabi,105.0,1.1714285714285717,15.830925099999998,78.0425373
52,Kharif,12.0,0.0,15.5,79.5
53,Kharif,49.0,1.1020408163265305,15.5,79.5
54,Kharif,2.0,1.0,15.5,79.5
55,Kharif,21.0,1.380952380952381,15.5,79.5
56,Kharif,2.0,2.0,15.5,79.5
57,Kharif,7.0,1.5714285714285714,15.5,79.5
58,Kharif,3.0,1.6666666666666667,15.5,79.5
59,Rabi,65.0,1.8153846153846156,15.5,79.5
60,Kharif,65.0,1.6153846153846154,15.5,79.5
61,Kharif,36.0,2.2777777777777777,15.5,79.5
62,Rabi,69.0,2.289855072463768,15.5,79.5
63,Rabi,10.0,1.8,14.287819099999998,79.772019124883
64,Rabi,6.0,1.6666666666666667,14.287819099999998,79.772019124883
65,Kharif,5.0,,17.0,81.166667
66,Kharif,373.0,1.206434316353887,27.272007000000002,96.06552596101909
67,Kharif,520.0,1.1384615384615384,27.272007000000002,96.06552596101909
68,Kharif,290.0,2.2517241379310344,28.7,95.7
69,Kharif,335.0,2.0,28.7,95.7
70,Kharif,88.0,2.215909090909091,27.3,93.05
71,Kharif,96.0,2.1354166666666665,27.3,93.05
72,Kharif,291.0,0.7663230240549829,28.3,95.15
73,Kharif,341.0,0.9501466275659824,28.3,95.15
74,Kharif,187.0,2.165775401069519,27.823905199999995,95.861898
75,Kharif,240.0,1.875,27.823905199999995,95.861898
76,Kharif,69.0,1.0144927536231885,27.8,93.6
77,Kharif,79.0,0.7594936708860759,27.8,93.6
78,Kharif,255.0,0.7843137254901961,27.28636665,93.61875168206379
79,Kharif,253.0,1.1067193675889329,27.28636665,93.61875168206379
80,Kharif,130.0,1.446153846153846,27.63898945,91.81892483748828
81,Kharif,145.0,1.4758620689655173,27.63898945,91.81892483748828
82,Kharif,370.0,0.6432432432432432,27.501343699999996,96.5242944
83,Kharif,400.0,0.325,27.501343699999996,96.5242944
84,Kharif,10.0,1.3,28.73120455,95.0377315135095
85,Kharif,13.0,1.2307692307692308,28.73120455,95.0377315135095
86,Kharif,71.0,2.3943661971830985,28.3,94.0
87,Kharif,73.0,2.3287671232876708,28.3,94.0
88,Kharif,25.0,2.04,27.4,92.35
89,Kharif,25.0,2.04,27.4,92.35
90,Kharif,186.0,1.1774193548387095,28.4,94.55
91,Kharif,200.0,1.14,28.4,94.55
92,Kharif,136.0,0.7426470588235294,20.73218365,81.14335738365041
93,Kharif,121.0,1.1322314049586777,20.73218365,81.14335738365041
94,Kharif,141.0,0.8439716312056738,20.73218365,81.14335738365041
95,Kharif,127.0,0.5826771653543307,20.73218365,81.14335738365041
96,Kharif,215.0,0.9116279069767442,21.57264595,82.43670691696441
97,Kharif,258.0,1.934108527131783,21.57264595,82.43670691696441
98,Kharif,209.0,1.6220095693779903,21.57264595,82.43670691696441
99,Kharif,262.0,1.118320610687023,21.57264595,82.43670691696441
100,Kharif,56.0,0.7142857142857143,23.6263016,83.4824509165653
101,Kharif,14.0,1.0714285714285714,23.6263016,83.4824509165653
102,Kharif,30.0,0.7333333333333333,23.6263016,83.4824509165653
103,Kharif,28.0,0.5357142857142857,23.6263016,83.4824509165653
